rank,candidate_id,name,smiles,rank_score,predicted_activity_score,predicted_selectivity_score,predicted_toxicity_risk,uncertainty,candidate_tier,generation_recommendation,uma_readiness_status,generator_engine,generation_provenance,score_provenance,score_sources_used,score_sources_available,score_sources_failed,score_limitations,chemist_review_status,chemist_review_notes,reject_reason,follow_up_literature_needed,synthesis_feasibility_review_needed,toxicity_review_needed,regulatory_review_needed,lab_testing_priority
1,GEN-0002,benzyl_qac_variant_0002,CCCCCCCC[N+](C)(C)Cc1ccccc1,71.24,86.0,75,25,0.72,modern_seed,use_as_generation_seed,needs_charge_review,cleanmol_builtin_de_novo,rule_based_de_novo_prior,heuristic_prior_no_reference_neighbors_available,['heuristic_discovery_profile'],['heuristic_discovery_profile'],"['chemprop_v2_not_installed', 'external_imported_model_not_configured']",Rank scores are triage scores. They are not probabilities and are not laboratory results.,,,,,,,,
2,GEN-0006,benzyl_qac_variant_0006,CCCCCCCCCC[N+](C)(C)Cc1ccccc1,71.24,86.0,75,25,0.72,modern_seed,use_as_generation_seed,needs_charge_review,cleanmol_builtin_de_novo,rule_based_de_novo_prior,heuristic_prior_no_reference_neighbors_available,['heuristic_discovery_profile'],['heuristic_discovery_profile'],"['chemprop_v2_not_installed', 'external_imported_model_not_configured']",Rank scores are triage scores. They are not probabilities and are not laboratory results.,,,,,,,,
3,GEN-0010,benzyl_qac_variant_0010,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,71.24,86.0,75,25,0.72,modern_seed,use_as_generation_seed,needs_charge_review,cleanmol_builtin_de_novo,rule_based_de_novo_prior,heuristic_prior_no_reference_neighbors_available,['heuristic_discovery_profile'],['heuristic_discovery_profile'],"['chemprop_v2_not_installed', 'external_imported_model_not_configured']",Rank scores are triage scores. They are not probabilities and are not laboratory results.,,,,,,,,
4,GEN-0003,phosphonium_variant_0003,CCCCCCCC[P+](C)(C)C,69.66,88.0,75,25,0.72,modern_seed,use_as_generation_seed,needs_charge_review,cleanmol_builtin_de_novo,rule_based_de_novo_prior,heuristic_prior_no_reference_neighbors_available,['heuristic_discovery_profile'],['heuristic_discovery_profile'],"['chemprop_v2_not_installed', 'external_imported_model_not_configured']",Rank scores are triage scores. They are not probabilities and are not laboratory results.,,,,,,,,
5,GEN-0004,pyridinium_variant_0004,CCCCCCCC[n+]1ccccc1,69.66,88.0,75,25,0.72,modern_seed,use_as_generation_seed,needs_charge_review,cleanmol_builtin_de_novo,rule_based_de_novo_prior,heuristic_prior_no_reference_neighbors_available,['heuristic_discovery_profile'],['heuristic_discovery_profile'],"['chemprop_v2_not_installed', 'external_imported_model_not_configured']",Rank scores are triage scores. They are not probabilities and are not laboratory results.,,,,,,,,
6,GEN-0007,phosphonium_variant_0007,CCCCCCCCCC[P+](C)(C)C,69.66,88.0,75,25,0.72,modern_seed,use_as_generation_seed,needs_charge_review,cleanmol_builtin_de_novo,rule_based_de_novo_prior,heuristic_prior_no_reference_neighbors_available,['heuristic_discovery_profile'],['heuristic_discovery_profile'],"['chemprop_v2_not_installed', 'external_imported_model_not_configured']",Rank scores are triage scores. They are not probabilities and are not laboratory results.,,,,,,,,
7,GEN-0008,pyridinium_variant_0008,CCCCCCCCCC[n+]1ccccc1,69.66,88.0,75,25,0.72,modern_seed,use_as_generation_seed,needs_charge_review,cleanmol_builtin_de_novo,rule_based_de_novo_prior,heuristic_prior_no_reference_neighbors_available,['heuristic_discovery_profile'],['heuristic_discovery_profile'],"['chemprop_v2_not_installed', 'external_imported_model_not_configured']",Rank scores are triage scores. They are not probabilities and are not laboratory results.,,,,,,,,
8,GEN-0011,phosphonium_variant_0011,CCCCCCCCCCCC[P+](C)(C)C,69.66,88.0,75,25,0.72,modern_seed,use_as_generation_seed,needs_charge_review,cleanmol_builtin_de_novo,rule_based_de_novo_prior,heuristic_prior_no_reference_neighbors_available,['heuristic_discovery_profile'],['heuristic_discovery_profile'],"['chemprop_v2_not_installed', 'external_imported_model_not_configured']",Rank scores are triage scores. They are not probabilities and are not laboratory results.,,,,,,,,
9,GEN-0012,pyridinium_variant_0012,CCCCCCCCCCCC[n+]1ccccc1,69.66,88.0,75,25,0.72,modern_seed,use_as_generation_seed,needs_charge_review,cleanmol_builtin_de_novo,rule_based_de_novo_prior,heuristic_prior_no_reference_neighbors_available,['heuristic_discovery_profile'],['heuristic_discovery_profile'],"['chemprop_v2_not_installed', 'external_imported_model_not_configured']",Rank scores are triage scores. They are not probabilities and are not laboratory results.,,,,,,,,
10,GEN-0001,qac_trimethyl_variant_0001,CCCCCCCC[N+](C)(C)C,63.46,78.0,75,25,0.72,modern_seed,use_as_generation_seed,needs_charge_review,cleanmol_builtin_de_novo,rule_based_de_novo_prior,heuristic_prior_no_reference_neighbors_available,['heuristic_discovery_profile'],['heuristic_discovery_profile'],"['chemprop_v2_not_installed', 'external_imported_model_not_configured']",Rank scores are triage scores. They are not probabilities and are not laboratory results.,,,,,,,,
11,GEN-0005,qac_trimethyl_variant_0005,CCCCCCCCCC[N+](C)(C)C,63.46,78.0,75,25,0.72,modern_seed,use_as_generation_seed,needs_charge_review,cleanmol_builtin_de_novo,rule_based_de_novo_prior,heuristic_prior_no_reference_neighbors_available,['heuristic_discovery_profile'],['heuristic_discovery_profile'],"['chemprop_v2_not_installed', 'external_imported_model_not_configured']",Rank scores are triage scores. They are not probabilities and are not laboratory results.,,,,,,,,
12,GEN-0009,qac_trimethyl_variant_0009,CCCCCCCCCCCC[N+](C)(C)C,63.46,78.0,75,25,0.72,modern_seed,use_as_generation_seed,needs_charge_review,cleanmol_builtin_de_novo,rule_based_de_novo_prior,heuristic_prior_no_reference_neighbors_available,['heuristic_discovery_profile'],['heuristic_discovery_profile'],"['chemprop_v2_not_installed', 'external_imported_model_not_configured']",Rank scores are triage scores. They are not probabilities and are not laboratory results.,,,,,,,,
